Transaction_ID,Customer_ID,Purchase_Date,Age,Gender,Location,Online/Offline,Online_Store,Category,Item_Purchased,Brand,Color,Size,Quantity,Purchase_Amount_(₹),Discount_(%),Festival/Sale,Shipping_Charge_(₹),Delivery_Speed,Delivery_Time_(Days),Subscription_Status,Payment_Method,Review_Rating,Return_Status,Previous_Purchases,Frequency_of_Purchases
TXN507808,CUST102534,2023-01-01,51.0,Male,Chennai,Online,Flipkart,Clothing,Kurta,Max,Yellow,M,2.0,1037.0,64.0,Missing,0.0,Same Day,1.0,Yes,Cash on Delivery,4.0,Not Returned,0.0,Fortnightly
TXN503830,CUST101256,2023-01-01,27.0,Female,Mumbai,Offline,Myntra,Clothing,Shirt,Puma,Black,L,1.0,2717.0,48.0,Missing,0.0,Standard,0.0,No,UPI,5.0,Not Returned,0.0,Fortnightly
TXN501496,CUST100490,2023-01-01,57.0,Male,Hyderabad,Online,Flipkart,Clothing,Jacket,Roadster,Brown,XXL,1.0,1363.0,22.0,Missing,0.0,Standard,7.0,Yes,UPI,3.0,Not Returned,0.0,Rarely
TXN501538,CUST100500,2023-01-01,22.0,Female,Pune,Online,Myntra,Clothing,Kurta,Puma,Grey,XS,1.0,1866.0,24.0,Missing,0.0,Standard,6.0,Yes,Net Banking,4.0,Not Returned,0.0,Fortnightly
TXN504265,CUST101399,2023-01-01,30.0,Male,Visakhapatnam,Online,Myntra,Accessories,Cap,Puma,Brown,Free Size,1.0,1577.0,30.0,Missing,99.0,Express,2.0,No,Debit Card,4.0,Not Returned,0.0,Weekly
TXN509250,CUST102952,2023-01-01,57.0,Male,Kochi,Offline,Myntra,Accessories,Watch,Roadster,Black,M,1.0,662.0,68.0,Missing,0.0,Standard,0.0,No,Credit Card,5.0,Not Returned,0.0,Fortnightly
TXN501814,CUST100596,2023-01-01,42.0,Male,Hyderabad,Online,Myntra,Footwear,Formal Shoes,Nike,Yellow,10,1.0,4550.0,54.0,Missing,0.0,Standard,4.0,No,UPI,3.0,Not Returned,0.0,Monthly
TXN500031,CUST100007,2023-01-01,47.0,Male,Pune,Online,Myntra,Clothing,Jacket,H&M,Pink,S,2.0,2528.0,48.0,Missing,0.0,Standard,5.0,No,Credit Card,5.0,Not Returned,0.0,Monthly
TXN501550,CUST100505,2023-01-01,37.0,Female,Ahmedabad,Offline,Myntra,Clothing,Saree,H&M,Blue,M,1.0,1066.0,56.0,Missing,0.0,Standard,0.0,Yes,UPI,5.0,Returned,0.0,Fortnightly
TXN505122,CUST101684,2023-01-01,33.0,Male,Visakhapatnam,Online,Amazon,Clothing,Hoodie,HRX,White,XS,1.0,414.0,59.0,Missing,49.0,Standard,4.0,Yes,Cash on Delivery,5.0,Returned,0.0,Weekly
TXN501568,CUST100510,2023-01-01,59.0,Male,Chennai,Online,Ajio,Clothing,Jacket,HRX,Red,S,1.0,400.0,21.0,Missing,0.0,Standard,8.0,Yes,UPI,3.0,Not Returned,0.0,Weekly
TXN508080,CUST102612,2023-01-01,25.0,Male,Mumbai,Online,Flipkart,Footwear,Boots,Max,Black,7,1.0,718.0,21.0,Missing,99.0,Express,4.0,No,Cash on Delivery,3.0,Not Returned,0.0,Fortnightly
TXN501212,CUST100365,2023-01-01,39.0,Male,Chandigarh,Online,Amazon,Footwear,Sandals,Zara,Red,9,1.0,4450.0,60.0,Missing,0.0,Standard,8.0,No,Credit Card,3.0,Not Returned,0.0,Fortnightly
TXN500349,CUST100086,2023-01-02,22.0,Male,Mumbai,Online,Shein,Clothing,T-shirt,Puma,Blue,XL,2.0,6123.0,26.0,Missing,99.0,Standard,4.0,No,UPI,5.0,Returned,0.0,Weekly
TXN504688,CUST101565,2023-01-02,37.0,Female,Hyderabad,Online,Myntra,Clothing,Kurta,Levis,Brown,M,1.0,2953.0,47.0,Missing,0.0,Standard,8.0,No,Credit Card,3.0,Not Returned,0.0,Quarterly
TXN503278,CUST101052,2023-01-02,39.0,Female,Delhi,Online,Myntra,Clothing,Kurta,Allen Solly,Beige,L,3.0,3132.0,43.0,Missing,0.0,Standard,5.0,No,Debit Card,5.0,Not Returned,0.0,Fortnightly
TXN507411,CUST102428,2023-01-02,49.0,Male,Bangalore,Online,Meesho,Footwear,Boots,HRX,Blue,11,2.0,1390.0,48.0,Missing,49.0,Standard,6.0,No,Credit Card,3.0,Not Returned,0.0,Weekly
TXN502224,CUST100729,2023-01-02,45.0,Male,Indore,Online,Flipkart,Clothing,Trousers,Max,Navy,XXL,1.0,423.0,41.0,Missing,79.0,Express,4.0,No,Credit Card,4.0,Not Returned,0.0,Monthly
TXN505960,CUST101941,2023-01-02,28.0,Female,Chennai,Online,Myntra,Footwear,Slippers,Zara,Beige,8,2.0,8441.0,55.0,Missing,0.0,Standard,6.0,Yes,UPI,4.0,Not Returned,0.0,Weekly
TXN507732,CUST102512,2023-01-03,58.0,Female,Chennai,Offline,Myntra,Clothing,Jacket,Max,Black,XXL,2.0,2730.0,42.0,Missing,0.0,Standard,0.0,Yes,UPI,5.0,Returned,0.0,Fortnightly
TXN509448,CUST103005,2023-01-03,33.0,Male,Jaipur,Online,Ajio,Clothing,Hoodie,US Polo,Black,M,1.0,874.0,62.0,Missing,0.0,Standard,5.0,Yes,Credit Card,5.0,Not Returned,0.0,Monthly
TXN505793,CUST101885,2023-01-03,25.0,Female,Hyderabad,Online,Flipkart,Clothing,Dress,US Polo,Blue,XL,1.0,1554.0,21.0,Missing,49.0,Express,3.0,No,Cash on Delivery,5.0,Not Returned,0.0,Fortnightly
TXN509881,CUST103157,2023-01-03,59.0,Female,Bangalore,Online,Amazon,Clothing,Kurta,HRX,White,M,1.0,665.0,61.0,Missing,0.0,Standard,5.0,No,UPI,4.0,Not Returned,0.0,Weekly
TXN501497,CUST100490,2023-01-03,57.0,Male,Hyderabad,Online,Meesho,Footwear,Slippers,Roadster,Red,11,1.0,1655.0,38.0,Missing,79.0,Express,3.0,Yes,UPI,3.0,Not Returned,1.0,Rarely
TXN508648,CUST102782,2023-01-03,49.0,Male,Mumbai,Online,Flipkart,Accessories,Socks,Bewakoof,Yellow,Free Size,2.0,626.0,24.0,Missing,0.0,Standard,6.0,Yes,Credit Card,5.0,Not Returned,0.0,Fortnightly
TXN507175,CUST102353,2023-01-03,37.0,Female,Pune,Online,Myntra,Footwear,Sneakers,Zara,Navy,7,3.0,12056.0,20.0,Missing,199.0,Express,3.0,No,Credit Card,5.0,Not Returned,0.0,Fortnightly
TXN507426,CUST102432,2023-01-03,24.0,Female,Bangalore,Offline,Myntra,Footwear,Running Shoes,H&M,Brown,10,1.0,2092.0,49.0,Missing,0.0,Standard,0.0,Yes,Debit Card,5.0,Returned,0.0,Fortnightly
TXN502900,CUST100943,2023-01-03,37.0,Male,Kochi,Offline,Myntra,Clothing,Shorts,HRX,Brown,L,2.0,712.0,36.0,Missing,0.0,Standard,0.0,No,UPI,4.0,Not Returned,0.0,Weekly
TXN503760,CUST101229,2023-01-03,30.0,Female,Mumbai,Offline,Myntra,Clothing,Hoodie,Zara,Yellow,M,1.0,3388.0,53.0,Missing,0.0,Standard,0.0,No,Credit Card,3.0,Not Returned,0.0,Monthly
TXN506726,CUST102209,2023-01-03,23.0,Female,Kolkata,Online,Myntra,Clothing,Trousers,Zara,Blue,M,1.0,2866.0,27.0,Missing,0.0,Standard,7.0,No,UPI,4.0,Not Returned,0.0,Weekly
TXN507997,CUST102593,2023-01-03,21.0,Female,Chandigarh,Offline,Myntra,Footwear,Formal Shoes,Max,Brown,8,1.0,605.0,67.0,Missing,0.0,Standard,0.0,No,UPI,4.0,Not Returned,0.0,Weekly
TXN502501,CUST100802,2023-01-04,39.0,Female,Kochi,Offline,Myntra,Footwear,Sandals,HRX,Navy,9,2.0,1382.0,62.0,Missing,0.0,Standard,0.0,Yes,UPI,4.0,Returned,0.0,Monthly
TXN501236,CUST100379,2023-01-04,29.0,Male,Kolkata,Online,Amazon,Clothing,Shirt,Allen Solly,Black,S,2.0,1566.0,45.0,Missing,79.0,Standard,8.0,No,Credit Card,4.0,Not Returned,0.0,Weekly
TXN501598,CUST100517,2023-01-04,20.0,Male,Patna,Online,Ajio,Accessories,Watch,Bata,Navy,M,1.0,732.0,53.0,Missing,0.0,Standard,6.0,Yes,UPI,3.0,Not Returned,0.0,Weekly
TXN507126,CUST102338,2023-01-04,19.0,Male,Lucknow,Online,Shein,Accessories,Sunglasses,Roadster,Beige,M,1.0,744.0,59.0,Missing,0.0,Standard,6.0,Yes,UPI,3.0,Returned,0.0,Fortnightly
TXN502409,CUST100773,2023-01-04,48.0,Male,Nagpur,Online,Myntra,Clothing,Jacket,Roadster,Red,S,1.0,871.0,69.0,Missing,99.0,Standard,8.0,No,Cash on Delivery,3.0,Not Returned,0.0,Monthly
TXN508997,CUST102876,2023-01-04,45.0,Female,Bangalore,Online,Myntra,Accessories,Backpack,Puma,Brown,Free Size,1.0,2410.0,35.0,Missing,0.0,Express,3.0,Yes,Credit Card,3.0,Not Returned,0.0,Rarely
TXN501732,CUST100566,2023-01-04,27.0,Female,Chennai,Offline,Myntra,Clothing,Dress,Zara,Yellow,S,1.0,2020.0,59.0,Missing,0.0,Standard,0.0,No,UPI,4.0,Not Returned,0.0,Weekly
TXN500379,CUST100093,2023-01-04,34.0,Female,Bangalore,Online,Myntra,Footwear,Sneakers,US Polo,Beige,8,1.0,1910.0,45.0,Missing,99.0,Standard,5.0,No,UPI,4.0,Not Returned,0.0,Weekly
TXN500037,CUST100010,2023-01-04,40.0,Male,Kolkata,Online,Amazon,Clothing,Jacket,Roadster,Grey,S,1.0,1200.0,43.0,Missing,79.0,Standard,5.0,No,Wallet,5.0,Not Returned,0.0,Fortnightly
TXN501413,CUST100450,2023-01-05,58.0,Female,Kolkata,Online,Flipkart,Footwear,Formal Shoes,H&M,Beige,8,1.0,863.0,46.0,Missing,79.0,Express,4.0,No,UPI,3.0,Not Returned,0.0,Monthly
TXN505372,CUST101755,2023-01-05,31.0,Male,Chennai,Online,Flipkart,Clothing,Jacket,Puma,Grey,XL,1.0,3366.0,53.0,Missing,79.0,Standard,5.0,No,UPI,4.0,Not Returned,0.0,Monthly
TXN504345,CUST101435,2023-01-05,22.0,Female,Delhi,Online,Flipkart,Accessories,Cap,Allen Solly,Pink,Free Size,1.0,782.0,56.0,Missing,0.0,Standard,5.0,No,UPI,5.0,Not Returned,0.0,Fortnightly
TXN508813,CUST102825,2023-01-05,53.0,Male,Delhi,Online,Shein,Clothing,Hoodie,Puma,Brown,M,2.0,2697.0,56.0,Missing,99.0,Standard,5.0,No,Cash on Delivery,4.0,Not Returned,0.0,Fortnightly
TXN501364,CUST100432,2023-01-05,52.0,Male,Chennai,Online,Amazon,Accessories,Wallet,Levis,Red,M,1.0,2331.0,51.0,Missing,0.0,Express,2.0,No,UPI,4.0,Not Returned,0.0,Rarely
TXN501186,CUST100355,2023-01-05,59.0,Female,Delhi,Online,Amazon,Clothing,Dress,H&M,Green,M,1.0,413.0,40.0,Missing,49.0,Standard,8.0,No,Wallet,4.0,Not Returned,0.0,Monthly
TXN505208,CUST101713,2023-01-05,48.0,Female,Noida,Online,Myntra,Clothing,Dress,Max,Black,S,1.0,498.0,50.0,Missing,199.0,Express,2.0,No,Debit Card,5.0,Not Returned,0.0,Fortnightly
TXN508189,CUST102642,2023-01-05,26.0,Male,Lucknow,Online,Flipkart,Accessories,Wallet,HRX,Black,M,1.0,316.0,61.0,Missing,0.0,Standard,4.0,No,UPI,3.0,Not Returned,0.0,Rarely
TXN500001,CUST100001,2023-01-05,50.0,Male,Bangalore,Online,Meesho,Clothing,Trousers,Zara,Green,M,1.0,2288.0,41.0,Missing,0.0,Express,2.0,No,EMI,3.0,Not Returned,0.0,Weekly
