ID,year,loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,LTV,Region,Security_Type,Status,dtir1,loan_amount_log
49802,2019,cf,Female,nopre,type2,p3,l1,nopc,b/c,116500,4.99,1.4474,2463.12,360.0,not_neg,not_int,not_lpsm,138000.0,sb,pr,home,1U,1740.0,EXP,679,CIB,45-54,to_inst,84.42028986,North,direct,0,41.0,11.665655135642039
171958,2019,cf,Sex Not Available,pre,type1,p4,l1,nopc,nob/c,236500,3.99,0.4417,2517.59,360.0,not_neg,not_int,not_lpsm,268000.0,sb,pr,home,1U,5880.0,EXP,853,EXP,25-34,to_inst,88.24626866,south,direct,0,44.0,12.373707715234994
148174,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,136500,3.99,0.4522,3900.0,348.0,not_neg,not_int,not_lpsm,708000.0,sb,pr,home,1U,2340.0,CRIF,598,EXP,65-74,to_inst,19.27966102,south,direct,0,41.0,11.824087219587643
78500,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,256500,4.25,0.622,3437.5,180.0,not_neg,not_int,not_lpsm,708000.0,sb,pr,home,1U,5640.0,EXP,776,EXP,65-74,to_inst,36.22881356,North,direct,0,32.0,12.45488784222084
64562,2019,cf,Female,nopre,type1,p1,l1,nopc,nob/c,686500,3.375,-0.2241,0.0,360.0,not_neg,not_int,not_lpsm,838000.0,sb,pr,home,1U,7140.0,EXP,653,CIB,35-44,not_inst,81.92124105,North,direct,0,48.0,13.439362960853341
29546,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,286500,3.69,-0.0084,0.0,360.0,not_neg,not_int,not_lpsm,758000.0,sb,pr,home,1U,4800.0,EXP,855,CIB,35-44,not_inst,37.79683377,North,direct,0,36.0,12.565497305532237
63333,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,566500,4.0,0.0554,5630.0,360.0,not_neg,not_int,not_lpsm,758000.0,sb,pr,home,1U,7620.0,CRIF,514,CIB,35-44,not_inst,74.73614776,North,direct,0,32.0,13.247234124673707
114313,2019,cf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,286500,3.375,0.1312,2887.18,360.0,not_neg,not_int,not_lpsm,308000.0,sb,pr,home,1U,7860.0,CIB,890,CIB,45-54,to_inst,93.01948052,south,direct,0,31.0,12.565497305532237
66799,2019,cf,Sex Not Available,pre,type1,p3,l1,nopc,nob/c,266500,4.125,0.4472,2597.5,360.0,not_neg,not_int,not_lpsm,388000.0,sb,pr,home,1U,4800.0,EXP,667,CIB,65-74,to_inst,68.68556701,south,direct,0,37.0,12.493133274926212
82180,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,136500,3.625,0.8731,3901.0,240.0,not_neg,not_int,not_lpsm,228000.0,sb,pr,home,1U,4200.0,CIB,541,CIB,45-54,to_inst,59.86842105,North,direct,0,23.0,11.824087219587643
